"sim_id","dataset_name","RMSE_Single","Bias_Single","CI_Coverage_Single","RMSE_Multiple","Bias_Multiple","CI_Coverage_Multiple","RMSE_VAE","Bias_VAE","CI_Coverage_VAE"
1,"MCAR_10%",1.04655749839918,-0.0188914483593628,1,1.04757519226872,-0.0190493621779342,1,1.04651264089995,-0.0188967094354622,1
1,"MAR_10%",1.04725932600032,-0.0189868493840032,1,1.04765074735066,-0.0195833517959699,1,1.04726975278064,-0.0189800711420468,1
1,"MCAR_25%",1.04684143822849,-0.0189309764262962,1,1.05051225665812,-0.019915328369751,1,1.0468760115195,-0.0189305939207315,1
1,"MAR_25%",1.0448794529035,-0.0166308457607799,1,1.04687083399684,-0.0170894118613672,1,1.0448997568936,-0.0166415878825167,1
1,"MCAR_50%",1.04576438033164,-0.0190476688785999,1,1.04908178790075,-0.0200257357388125,1,1.04589727622469,-0.0190779398378653,1
1,"MAR_50%",1.04436874641395,-0.0212945260691833,1,1.04561484568497,-0.0216012080117164,1,1.04437649411379,-0.0212887372894625,1
2,"MCAR_10%",1.04655749839918,-0.0188914483593628,1,1.04732941483407,-0.0189495281724686,1,1.04646605331036,-0.0188681178239196,1
2,"MAR_10%",1.04725932600032,-0.0189868493840032,1,1.04763625972253,-0.0196047135682116,1,1.04721557041266,-0.018984716089833,1
2,"MCAR_25%",1.04684143822849,-0.0189309764262962,1,1.05073055339317,-0.019461963771266,1,1.04673805675305,-0.0189181862597478,1
2,"MAR_25%",1.0448794529035,-0.0166308457607799,1,1.0471685871535,-0.0190801317549729,1,1.04483575871458,-0.0166639552200954,1
2,"MCAR_50%",1.04576438033164,-0.0190476688785999,1,1.05019446823872,-0.0201056428995186,1,1.04567408874942,-0.019098929471309,1
2,"MAR_50%",1.04436874641395,-0.0212945260691833,1,1.04705584340368,-0.0210774935381892,1,1.04427762032203,-0.0212795252692715,1
3,"MCAR_10%",1.04655749839918,-0.0188914483593628,1,1.04802732344882,-0.0190041485783542,1,1.04655585462128,-0.018893275953656,1
3,"MAR_10%",1.04725932600032,-0.0189868493840032,1,1.04790086279545,-0.0197977728857203,1,1.04728198026111,-0.0189792332184262,1
3,"MCAR_25%",1.04684143822849,-0.0189309764262962,1,1.05013464499188,-0.0199727692743451,1,1.04678814159212,-0.018950489867085,1
3,"MAR_25%",1.0448794529035,-0.0166308457607799,1,1.04977685676249,-0.0185185942238754,1,1.04493575888888,-0.016698644728284,1
3,"MCAR_50%",1.04576438033164,-0.0190476688785999,1,1.04850557266766,-0.0202772490561637,1,1.04570173797745,-0.019010306536382,1
3,"MAR_50%",1.04436874641395,-0.0212945260691833,1,1.04735122797069,-0.0219455839397271,1,1.04436679928808,-0.0212802911568381,1
4,"MCAR_10%",1.04655749839918,-0.0188914483593628,1,1.04786443560445,-0.0188268261013308,1,1.04655434486168,-0.0189008969092957,1
4,"MAR_10%",1.04725932600032,-0.0189868493840032,1,1.04794566592742,-0.0197897416765428,1,1.04722617876906,-0.0189869236379498,1
4,"MCAR_25%",1.04684143822849,-0.0189309764262962,1,1.0521404073196,-0.0194288093849223,1,1.04684183124374,-0.0189963716393582,1
4,"MAR_25%",1.0448794529035,-0.0166308457607799,1,1.04616906698893,-0.0184845862031386,1,1.04491732262692,-0.0166556109726197,1
4,"MCAR_50%",1.04576438033164,-0.0190476688785999,1,1.04933756628726,-0.0195754086011149,1,1.04590701627574,-0.0190855126226754,1
4,"MAR_50%",1.04436874641395,-0.0212945260691833,1,1.04476160031258,-0.0209529898030497,1,1.044361648895,-0.0212858787479006,1
5,"MCAR_10%",1.04655749839918,-0.0188914483593628,1,1.04955711106214,-0.0188345136908236,1,1.04649544001422,-0.0188384616989771,1
5,"MAR_10%",1.04725932600032,-0.0189868493840032,1,1.04756759366877,-0.019699763719725,1,1.04723624515869,-0.018981947796875,1
5,"MCAR_25%",1.04684143822849,-0.0189309764262962,1,1.05491883387915,-0.0211700085480244,1,1.04675990855386,-0.0189467874689654,1
5,"MAR_25%",1.0448794529035,-0.0166308457607799,1,1.04584732292306,-0.0178470165254858,1,1.04500027261453,-0.0166235716953714,1
5,"MCAR_50%",1.04576438033164,-0.0190476688785999,1,1.04811658663809,-0.020139513400621,1,1.04579519634013,-0.0190032279677581,1
5,"MAR_50%",1.04436874641395,-0.0212945260691833,1,1.0456088322026,-0.0208603802552469,1,1.04436099283308,-0.0213216259966626,1
6,"MCAR_10%",1.04655749839918,-0.0188914483593628,1,1.04870377081223,-0.0191406184221765,1,1.04655987556265,-0.0188919590958643,1
6,"MAR_10%",1.04725932600032,-0.0189868493840032,1,1.04761395596844,-0.019541484324859,1,1.04731961633418,-0.0189859219247832,1
6,"MCAR_25%",1.04684143822849,-0.0189309764262962,1,1.04960759393311,-0.0200969190147438,1,1.04670337414168,-0.0189187682754309,1
6,"MAR_25%",1.0448794529035,-0.0166308457607799,1,1.04933172113114,-0.0188644156273586,1,1.04492557082136,-0.0165768382926369,1
6,"MCAR_50%",1.04576438033164,-0.0190476688785999,1,1.05057438621797,-0.0211330989259644,1,1.04569263096137,-0.0190490901341411,1
6,"MAR_50%",1.04436874641395,-0.0212945260691833,1,1.04450330361395,-0.0208240465053247,1,1.04438223474638,-0.0213417615816802,1
7,"MCAR_10%",1.04655749839918,-0.0188914483593628,1,1.04734869346287,-0.0189197864435353,1,1.04656941441155,-0.0188994122236238,1
7,"MAR_10%",1.04725932600032,-0.0189868493840032,1,1.04755791772384,-0.0195565553466277,1,1.04729442033828,-0.018975598392146,1
7,"MCAR_25%",1.04684143822849,-0.0189309764262962,1,1.05112253749497,-0.0199387076794255,1,1.04687063257854,-0.0189350019588998,1
7,"MAR_25%",1.0448794529035,-0.0166308457607799,1,1.04658752859445,-0.0182825719470906,1,1.04497797010008,-0.0166813127102592,1
7,"MCAR_50%",1.04576438033164,-0.0190476688785999,1,1.04906493548175,-0.0208405745874462,1,1.04585704097466,-0.0190765335771385,1
7,"MAR_50%",1.04436874641395,-0.0212945260691833,1,1.04791500379686,-0.0219551450918648,1,1.04448716167949,-0.0213176666311439,1
8,"MCAR_10%",1.04655749839918,-0.0188914483593628,1,1.04885106358821,-0.0190295078345075,1,1.0466062908403,-0.0188964506712349,1
8,"MAR_10%",1.04725932600032,-0.0189868493840032,1,1.04698152715774,-0.0192592077156487,1,1.04728311373002,-0.0189774284851746,1
8,"MCAR_25%",1.04684143822849,-0.0189309764262962,1,1.05056832091366,-0.0202460054435683,1,1.0467989690781,-0.0189308128565424,1
8,"MAR_25%",1.0448794529035,-0.0166308457607799,1,1.04607383843362,-0.0179971301871254,1,1.04505750734575,-0.0166562347939967,1
8,"MCAR_50%",1.04576438033164,-0.0190476688785999,1,1.05255546002042,-0.0208487142337272,1,1.0457071417992,-0.0190254792407169,1
8,"MAR_50%",1.04436874641395,-0.0212945260691833,1,1.0453252692773,-0.0213852631536715,1,1.04431547541155,-0.0212910232178904,1
9,"MCAR_10%",1.04655749839918,-0.0188914483593628,1,1.04753829413737,-0.01913791854236,1,1.04654337581687,-0.0188851299957835,1
9,"MAR_10%",1.04725932600032,-0.0189868493840032,1,1.04784585083429,-0.0196852152375305,1,1.04727274118487,-0.0189841905553416,1
9,"MCAR_25%",1.04684143822849,-0.0189309764262962,1,1.05288197467803,-0.0204323171193926,1,1.04668824174435,-0.0188934314710194,1
9,"MAR_25%",1.0448794529035,-0.0166308457607799,1,1.04571252917521,-0.0172379699125682,1,1.04468168008886,-0.0166257355230392,1
9,"MCAR_50%",1.04576438033164,-0.0190476688785999,1,1.0498812217219,-0.0205858941864267,1,1.0458209026091,-0.0190499017191607,1
9,"MAR_50%",1.04436874641395,-0.0212945260691833,1,1.04532059768038,-0.0216005946911158,1,1.04455621867868,-0.0213258455164873,1
10,"MCAR_10%",1.04655749839918,-0.0188914483593628,1,1.04866129007061,-0.0192566056306189,1,1.04662379604403,-0.0189038811452671,1
10,"MAR_10%",1.04725932600032,-0.0189868493840032,1,1.04768190076616,-0.0196047330521946,1,1.04726994850212,-0.0190188121627581,1
10,"MCAR_25%",1.04684143822849,-0.0189309764262962,1,1.05531746324858,-0.0211257174131931,1,1.04679752193703,-0.0189076499745484,1
10,"MAR_25%",1.0448794529035,-0.0166308457607799,1,1.04579913048463,-0.0183326862189152,1,1.04487521117092,-0.0166224151346061,1
10,"MCAR_50%",1.04576438033164,-0.0190476688785999,1,1.04936324621914,-0.0201474196967394,1,1.04574801292257,-0.0190401076426483,1
10,"MAR_50%",1.04436874641395,-0.0212945260691833,1,1.04524510817464,-0.0205953786846395,1,1.04438586768933,-0.0213029691522965,1
11,"MCAR_10%",1.04655749839918,-0.0188914483593628,1,1.04726416368449,-0.0191715212055359,1,1.04649047775982,-0.0188901405289003,1
11,"MAR_10%",1.04725932600032,-0.0189868493840032,1,1.04752250257533,-0.0194584900290424,1,1.04725638042217,-0.0189957366706637,1
11,"MCAR_25%",1.04684143822849,-0.0189309764262962,1,1.05765480577507,-0.021165512208264,1,1.04679339063317,-0.0189421465243512,1
11,"MAR_25%",1.0448794529035,-0.0166308457607799,1,1.04679980689978,-0.0187452163326132,1,1.04468990160339,-0.01661155695946,1
11,"MCAR_50%",1.04576438033164,-0.0190476688785999,1,1.04718979919011,-0.020108950173368,1,1.04573236909743,-0.0190344579145059,1
11,"MAR_50%",1.04436874641395,-0.0212945260691833,1,1.0442979645459,-0.0211318332429848,1,1.04436683229479,-0.0212456061755433,1
12,"MCAR_10%",1.04655749839918,-0.0188914483593628,1,1.04714965329157,-0.0191320262855315,1,1.0465463487897,-0.0188813014537721,1
12,"MAR_10%",1.04725932600032,-0.0189868493840032,1,1.04777751639355,-0.0195903001317043,1,1.04714172128045,-0.0189485680905,1
12,"MCAR_25%",1.04684143822849,-0.0189309764262962,1,1.0507342639438,-0.0200575063462592,1,1.0468978945723,-0.0189351800391462,1
12,"MAR_25%",1.0448794529035,-0.0166308457607799,1,1.04778644566675,-0.0188454437693842,1,1.04493873050211,-0.0166321647388658,1
12,"MCAR_50%",1.04576438033164,-0.0190476688785999,1,1.04966831313616,-0.020067381988392,1,1.04580558921633,-0.0191016569091935,1
12,"MAR_50%",1.04436874641395,-0.0212945260691833,1,1.04722264881074,-0.0218516462527481,1,1.04454594921627,-0.0212880926286235,1
13,"MCAR_10%",1.04655749839918,-0.0188914483593628,1,1.04826356094923,-0.0190496891981119,1,1.04654150124458,-0.0189100916081621,1
13,"MAR_10%",1.04725932600032,-0.0189868493840032,1,1.04709432250909,-0.0191602112407993,1,1.0472605757961,-0.0189823867608507,1
13,"MCAR_25%",1.04684143822849,-0.0189309764262962,1,1.05077868137653,-0.0204438074974374,1,1.04685463225454,-0.0189469542366905,1
13,"MAR_25%",1.0448794529035,-0.0166308457607799,1,1.04581213384773,-0.0187449942370217,1,1.04484266779484,-0.0166232709493443,1
13,"MCAR_50%",1.04576438033164,-0.0190476688785999,1,1.04886313295628,-0.0209016778468705,1,1.04596995785797,-0.0190522178828165,1
13,"MAR_50%",1.04436874641395,-0.0212945260691833,1,1.04742827162919,-0.0212640029136396,1,1.04430644914375,-0.0212911954439961,1
14,"MCAR_10%",1.04655749839918,-0.0188914483593628,1,1.04784253743998,-0.0193864537673682,1,1.04661188156233,-0.0188949402110361,1
14,"MAR_10%",1.04725932600032,-0.0189868493840032,1,1.04710489012452,-0.0192445521646238,1,1.04724333466065,-0.0189806945621372,1
14,"MCAR_25%",1.04684143822849,-0.0189309764262962,1,1.05108099633369,-0.0197813909272223,1,1.04689897788004,-0.0189673537204802,1
14,"MAR_25%",1.0448794529035,-0.0166308457607799,1,1.04651800602346,-0.0179604184431007,1,1.04487696277294,-0.0166480713211897,1
14,"MCAR_50%",1.04576438033164,-0.0190476688785999,1,1.04894337402832,-0.020254720895185,1,1.04566841890874,-0.0190414705635808,1
14,"MAR_50%",1.04436874641395,-0.0212945260691833,1,1.04427043897719,-0.0213011038931029,1,1.04445124815437,-0.0212689227900072,1
15,"MCAR_10%",1.04655749839918,-0.0188914483593628,1,1.04869686553061,-0.0189836850850271,1,1.04656005320765,-0.0188920978638554,1
15,"MAR_10%",1.04725932600032,-0.0189868493840032,1,1.04770988800679,-0.0195522819183918,1,1.04725267168855,-0.0189932050243807,1
15,"MCAR_25%",1.04684143822849,-0.0189309764262962,1,1.0509722239892,-0.0203733544853099,1,1.04688627135092,-0.0189577157997744,1
15,"MAR_25%",1.0448794529035,-0.0166308457607799,1,1.04503228710804,-0.0179740459996542,1,1.04486996752748,-0.0166421453950076,1
15,"MCAR_50%",1.04576438033164,-0.0190476688785999,1,1.05279613093322,-0.0204715958295465,1,1.04580992986779,-0.019083276571055,1
